Transaction_ID,Date,Customer_ID,Product_Category,Sales_Amount,Region
TXN-00001,2024-09-10,C-0486,Fashion,38926.0,Phuket
TXN-00002,2024-09-08,C-0356,Sports,14931.0,Chonburi
TXN-00003,2024-08-15,C-0431,Electronics,17885.0,Krungthep
TXN-00004,2024-02-12,C-0455,Electronics,32252.0,Khon Kaen
TXN-00005,2024-04-22,C-0756,Electronics,48574.0,Phuket
TXN-00006,2024-05-20,C-0661,Beauty,9137.0,Bangkok
TXN-00007,2024-05-27,C-0022,Home & Living,6313.0,Khon Kaen
TXN-00008,2024-08-22,C-0299,Electronics,47901.0,Chiangmai
TXN-00009,2024-09-10,C-0194,Sports,709.0,Chonburi
TXN-00010,2024-02-27,C-0065,Fashion,32657.0,Chiangmai
TXN-00011,2024-05-17,C-0023,Sports,14167.0,Krungthep
TXN-00012,2024-07-06,C-0893,Electronics,3043.0,Chiangmai
TXN-00013,2024-01-22,C-0822,Beauty,17740.0,Chiangmai
TXN-00014,2024-08-13,C-0238,Electronics,41854.0,BKK
TXN-00015,2024-08-05,C-0855,Sports,42293.0,Khon Kaen
TXN-00016,2024-11-30,C-0971,Electronics,35264.0,Chiangmai
TXN-00017,2024-06-01,C-0533,Electronics,12300.0,Phuket
TXN-00018,2024-01-17,C-0661,Fashion,15697.0,Krungthep
TXN-00019,2024-06-27,C-0344,Fashion,44276.0,Bangkok
TXN-00020,2024-02-14,C-0422,Fashion,41789.0,Khon Kaen
TXN-00021,2024-03-01,C-0593,Beauty,23904.0,Phuket
TXN-00022,2024-05-01,C-0352,Beauty,19860.0,Chiang Mai
TXN-00023,2024-10-28,C-0672,Electronics,7864.0,Chonburi
TXN-00024,2024-12-29,C-0662,Home & Living,49977.0,BKK
TXN-00025,2024-08-07,C-0806,Fashion,27998.0,Bangkok
TXN-00026,2024-03-12,C-0335,Fashion,21825.0,BKK
TXN-00027,2024-04-15,C-0498,Beauty,28343.0,Chiangmai
TXN-00028,2024-10-18,C-0608,Electronics,30956.0,Krungthep
TXN-00029,2024-05-23,C-0682,Beauty,43793.0,Krungthep
TXN-00030,2024-03-27,C-0714,Sports,46176.0,Chiang Mai
TXN-00031,2024-12-26,C-0543,Home & Living,8892.0,Chon Buri
TXN-00032,2024-10-20,C-0863,Beauty,32202.0,Chonburi
TXN-00033,2024-09-20,C-0562,Fashion,32558.0,BKK
TXN-00034,2024-12-13,C-0456,Sports,45537.0,Phuket 
TXN-00035,2024-03-10,C-0469,Fashion,19566.0,Phuket 
TXN-00036,2024-07-29,C-0312,Beauty,14597.0,Chiangmai
TXN-00037,2024-05-21,C-0581,Beauty,27304.0,Bangkok
TXN-00038,2024-03-05,C-0136,Sports,21680.0,Chiangmai
TXN-00039,2024-03-08,C-0920,Home & Living,21315.0,Chiang Mai
TXN-00040,2024-12-30,C-0809,Beauty,29463.0,BKK
TXN-00041,2024-05-06,C-0314,Electronics,17585.0,BKK
TXN-00042,2024-12-12,C-0176,Sports,18084.0,Khon Kaen
TXN-00043,2024-03-13,C-0809,Electronics,14848.0,Chonburi
