ef_id,category_code,category_name_th,category_name_en,ef_name,ef_description,unit,factor_value,source_name,source_detail,updated_tag,raw_text
1,1,กลุ่มปิโตรเคมี,,Acrylonitrile Butadiene Styrene (ABS),ผลิตจากกระบวนการอัลคิเลชันของเบนซีนและเอทิลีน; LCIA method IPCC 2013 GWP 100a V1.03,kg,4.1597,Thai National LCI Database,"Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018)",Update_Dec2019,"1. | Acrylonitrile Butadiene Styrene (ABS) | ผลิตจากกระบวนการอัลคิเลชันของเบนซีนและเอทิลีน ; LCIA method IPCC 2013 GWP 100a V1.03 | kg | 4.1597 | Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018) | Update_Dec2019"
2,1,กลุ่มปิโตรเคมี,,General Purposed Polystyrene (GPPS),ผลิตจาก Styrene และ Ethylbenzene; LCIA method IPCC 2013 GWP 100a V1.03,kg,3.2281,Thai National LCI Database,"Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018)",Update_Dec2019,"2. | General Purposed Polystyrene (GPPS) | ผลิตจาก Styrene และ Ethylbenzene; LCIA method IPCC 2013 GWP 100a V1.03 | kg | 3.2281 | Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018) | Update_Dec2019"
3,1,กลุ่มปิโตรเคมี,,High Density Polyethylene (HDPE),ผลิตจาก Ethylene โดยมี1-Butene และ Propylene เป็น Comonomer; LCIA method IPCC 2013 GWP 100a V1.03,kg,6.7071,Thai National LCI Database,"Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018)",Update_Dec2019,"3. | High Density Polyethylene (HDPE) | ผลิตจาก Ethylene โดยมี1-Butene และ Propylene เป็น Comonomer; LCIA method IPCC 2013 GWP 100a V1.03 | kg | 6.7071 | Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018) | Update_Dec2019"
4,1,กลุ่มปิโตรเคมี,,High Impact Polystyrene (HIPS),ผลิตจาก Styrene และ Polybutadiene rubber; LCIA method IPCC 2013 GWP 100a V1.03,kg,3.6843,Thai National LCI Database,"Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018)",Update_Dec2019,"4. | High Impact Polystyrene (HIPS) | ผลิตจาก Styrene และ Polybutadiene rubber; LCIA method IPCC 2013 GWP 100a V1.03 | kg | 3.6843 | Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018) | Update_Dec2019"
5,1,กลุ่มปิโตรเคมี,,Linear Low Density Polyethylene (LLDPE),ผลิตจากกระบวนการทเี่ป็น Solution phase และ Gas phase; LCIA method IPCC 2013 GWP 100a V1.03,kg,2.1356,Thai National LCI Database,"Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018)",Update_July2022,"5. | Linear Low Density Polyethylene (LLDPE) | ผลิตจากกระบวนการทเี่ป็น Solution phase และ Gas phase; LCIA method IPCC 2013 GWP 100a V1.03 | kg | 2.1356 | Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018) | Update_July2022"
6,1,กลุ่มปิโตรเคมี,,Low Density Polyethylene (LDPE),ผลิตจากกระบวนการทเี่ป็น Solution phase และ Gas phase; LCIA method IPCC 2013 GWP 100a V1.03,kg,2.6258,Thai National LCI Database,"Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018)",Update_Dec2019,"6. | Low Density Polyethylene (LDPE) | ผลิตจากกระบวนการทเี่ป็น Solution phase และ Gas phase; LCIA method IPCC 2013 GWP 100a V1.03 | kg | 2.6258 | Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018) | Update_Dec2019"
7,1,กลุ่มปิโตรเคมี,,Polypropylene (PP),ผลิตจากกระบวนการทเี่ป็น Liquid phase และ Gas phase; LCIA method IPCC 2013 GWP 100a V1.03,kg,1.8814,Thai National LCI Database,"Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018)",Update_July2022,"7. | Polypropylene (PP) | ผลิตจากกระบวนการทเี่ป็น Liquid phase และ Gas phase; LCIA method IPCC 2013 GWP 100a V1.03 | kg | 1.8814 | Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018) | Update_July2022"
8,1,กลุ่มปิโตรเคมี,,Ployvinyl Chloride (PVC),ผลิตจากกระบวนการ Suspension และ Emulsion; LCIA method IPCC 2013 GWP 100a V1.03,kg,2.1331,Thai National LCI Database,"Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018)",Update_Dec2019,"8. | Ployvinyl Chloride (PVC) | ผลิตจากกระบวนการ Suspension และ Emulsion; LCIA method IPCC 2013 GWP 100a V1.03 | kg | 2.1331 | Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018) | Update_Dec2019"
9,1,กลุ่มปิโตรเคมี,,P-xylene,ผลิตจากกระบวนการ PAREX / ISOMAR; LCIA method IPCC 2013 GWP 100a V1.03,kg,0.9226,Thai National LCI Database,"Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018)",Update_Dec2019,"9. | P-xylene | ผลิตจากกระบวนการ PAREX / ISOMAR; LCIA method IPCC 2013 GWP 100a V1.03 | kg | 0.9226 | Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018) | Update_Dec2019"
10,1,กลุ่มปิโตรเคมี,,Styrene Monomer (SM),ผลิตจากกระบวนการอัลคิเลชันของเบนซีนและเอทิลีน; LCIA method IPCC 2013 GWP 100a V1.03,kg,2.3705,Thai National LCI Database,"Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018)",Update_Dec2019,"10. | Styrene Monomer (SM) | ผลิตจากกระบวนการอัลคิเลชันของเบนซีนและเอทิลีน ; LCIA method IPCC 2013 GWP 100a V1.03 | kg | 2.3705 | Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018) | Update_Dec2019"
