index,name,description,value,source,update,category
1,Acrylonitrile,"Butadiene Styrene 
(ABS)  ผลิตจากกระบวนการอัลคิลเลชันของเบนซีนและเอ
ทีลีน; LCIA method IPCC 2013 GWP 100a 
V1.03",4.1597,"Thai National LCI Database,  
TIIS-MTEC -NSTDA  
(with TGO electricity 2 016-2018)",Dec2019,กลุ่มปิโตรเคมี
2,General,"Purposed Polystyrene 
(GPPS)  ผลิตจาก  Styrene และ Ethylbenzene; LCIA 
method IPCC 2013 GWP 100a V1.03",3.2281,"Thai National LCI Database,  
TIIS-MTEC -NSTDA  
(with TGO electricity 2016 -2018)",Dec2019,กลุ่มปิโตรเคมี
3,High,"Density Poly ethylene (HDPE)  ผลิตจาก Ethylene โดยมี 1-Butene และ 
Propylene เป็น Comonomer; LCIA method 
IPCC 2013 GWP 100a V1.03",6.7071,"Thai National LCI Database,  
TIIS-MTEC -NSTDA  
(with TGO electricity 2016 -2018)",Dec2019,กลุ่มปิโตรเคมี
4,High,"Impact Polystyrene (HIPS)  ผลิตจาก Styrene และ Polybutadiene rubber; 
LCIA method IPCC 2013 GWP 100a V1.03",3.6843,"Thai National LCI Database,  
TIIS-MTEC -NSTDA  
(with TGO electricity 2016 -2018)",Dec2019,กลุ่มปิโตรเคมี
5,Linear,"Low Density Polyethylene 
(LLDPE)  ผลิตจากกระบวนการที่เป็น Solution phas e และ 
Gas phase; LCIA method IPCC 2013 GWP 
100a V1.03",2.1356,"Thai National LCI Database,  
TIIS-MTEC -NSTDA  
(with TGO electricity 2016 -2018)",July2022,กลุ่มปิโตรเคมี
6,Low,"Density Polyethylene (LDPE)  ผลิตจากกระบวนการที่เป็น Solution phase และ 
Gas phase; LCIA metho d IPCC 2013 GWP 
100a V1.03",2.6258,"Thai National LCI Database,  
TIIS-MTEC -NSTDA  
(with TGO electricity 2016 -2018)",Dec2019,กลุ่มปิโตรเคมี
7,Polypropylene,"(PP) ผลิตจากกระบวนการที่เป็น Liquid phase และ Gas 
phase; LCIA method IPCC 2013 GWP 100a 
V1.03",1.8814,"Thai N ational LCI Database,  
TIIS-MTEC -NSTDA  
(with TGO electricity 2016 -2018)",July2022,กลุ่มปิโตรเคมี
8,Ployvinyl,"Chloride (PVC)  ผลิตจากกระบวนการ Suspension และ Emulsion; 
LCIA method IPCC 2013 GWP 100a V1.03",2.1331,"Thai National LCI Database,  
TIIS-MTEC -NSTDA  
(with TG O electricity 2016 -2018)",Dec2019,กลุ่มปิโตรเคมี
9,P-xylene,"ผลิตจากกระบวนการ PAREX / ISOMAR; LCIA 
method IPCC 2013 GWP 100a V1.03",0.9226,"Thai National LCI Database,  
TIIS-MTEC -NSTDA  
(with TGO electricity 2016 -2018)",Dec2019,กลุ่มปิโตรเคมี
10,Styrene,"Monomer (SM)  ผลิตจากกร ะบวนการอัลคิลเลชันของเบนซีนและเอ
ทีลีน; LCIA method IPCC 2013 GWP 100a 
V1.03",2.3705,"Thai National LCI Database,  
TIIS-MTEC -NSTDA  
(with TGO electricity 2016 -2018)",Dec2019,กลุ่มปิโตรเคมี
